External Temperature (C), Barometric Pressure (Pa), Acceleration X, Acceleration Y, Acceleration Z
25.09, 101656.91, 0.23,-0.57, 9.62, 8571
25.09, 101656.91, 0.23,-0.59, 9.62, 8576
25.09, 101656.91, 0.23,-0.56, 9.73, 8581
25.09, 101656.91, 0.25,-0.56, 9.60, 8586
25.09, 101656.91, 0.21,-0.56, 9.62, 8591
25.09, 101657.62, 0.27,-0.54, 9.62, 8596
25.09, 101657.62, 0.27,-0.57, 9.67, 8601
25.09, 101657.62, 0.23,-0.52, 9.66, 8606
25.09, 101657.62, 0.13,-0.52, 9.64, 8611
25.09, 101657.62, 0.17,-0.57, 9.64, 8616
25.09, 101657.62, 0.19,-0.57, 9.67, 8621
25.09, 101657.62, 0.23,-0.57, 9.67, 8626
25.09, 101655.70, 0.29,-0.56, 9.67, 8631
25.09, 101655.70, 0.25,-0.57, 9.60, 8636
25.09, 101655.70, 0.33,-0.54, 9.69, 8641
25.09, 101655.70, 0.27,-0.56, 9.62, 8646
25.09, 101655.70, 0.19,-0.52, 9.66, 8651
25.09, 101655.70, 0.25,-0.56, 9.90, 8656
25.09, 101655.70, 0.25,-0.54, 9.52, 8661
25.09, 101655.04, 0.25,-0.63, 9.67, 8666
25.09, 101655.04, 0.27,-0.56, 9.64, 8671
25.09, 101655.04, 0.27,-0.52, 9.62, 8676
25.09, 101655.04, 0.19,-0.54, 9.64, 8681
25.09, 101655.04, 0.10,-0.61, 9.64, 8686
25.09, 101655.04, 0.19,-0.54, 9.62, 8691
25.09, 101655.04, 0.17,-0.57, 9.52, 8696
25.09, 101654.38, 0.17,-0.50, 9.64, 8701
25.09, 101656.14, 0.17,-0.57, 9.58, 8706
25.09, 101656.14, 0.23,-0.57, 9.64, 8711
25.09, 101656.14, 0.21,-0.56, 9.58, 8716
25.09, 101656.14, 0.23,-0.54, 9.62, 8721
25.09, 101656.14, 0.21,-0.54, 9.64, 8726
25.09, 101656.14, 0.19,-0.56, 9.66, 8731
25.09, 101656.14, 0.23,-0.57, 9.62, 8736
25.09, 101658.67, 0.25,-0.59, 9.64, 8741
25.09, 101658.67, 0.25,-0.56, 9.67, 8746
25.09, 101658.67, 0.23,-0.57, 9.66, 8751
25.09, 101658.67, 0.25,-0.52, 9.60, 8756
25.09, 101658.67, 0.33,-0.56, 9.66, 8761
25.09, 101658.67, 0.27,-0.65, 9.56, 8766
25.09, 101658.67, 0.27,-0.67, 9.62, 8771
25.09, 101658.51, 0.27,-0.54, 9.56, 8776
25.09, 101658.51, 0.25,-0.52, 9.64, 8781
25.09, 101658.51, 0.27,-0.57, 9.60, 8786
25.09, 101658.51, 0.19,-0.59, 9.60, 8791
25.09, 101658.51, 0.27,-0.63, 9.64, 8796
25.09, 101658.51, 0.34,-0.57, 9.58, 8801
25.09, 101658.51, 0.23,-0.54, 9.60, 8806
25.09, 101658.67, 0.19,-0.57, 9.66, 8811
25.09, 101658.67, 0.15,-0.59, 9.64, 8816
25.09, 101658.67, 0.21,-0.57, 9.58, 8821
25.09, 101658.67, 0.19,-0.61, 9.67, 8826
25.09, 101658.67, 0.23,-0.59, 9.64, 8831
25.09, 101658.67, 0.15,-0.57, 9.62, 8836
25.09, 101658.67, 0.23,-0.54, 9.64, 8841
25.09, 101656.58, 0.19,-0.56, 9.62, 8846
25.09, 101656.58, 0.27,-0.56, 9.62, 8851
25.09, 101656.58, 0.27,-0.59, 9.64, 8856
25.09, 101656.58, 0.31,-0.54, 9.62, 8861
25.09, 101656.58, 0.23,-0.54, 9.58, 8866
25.09, 101656.58, 0.29,-0.59, 9.92, 8873
25.09, 101656.58, 0.27,-0.59, 9.94, 8878
25.09, 101656.97, 0.21,-0.57, 9.64, 8883
25.09, 101656.97, 0.25,-0.57, 9.71, 8888
25.09, 101656.97, 0.21,-0.54, 9.67, 8893
25.09, 101656.97, 0.19,-0.59, 9.60, 8898
25.09, 101656.97, 0.27,-0.59, 9.67, 8903
25.09, 101656.97, 0.23,-0.73, 9.66, 8908
25.09, 101656.97, 0.23,-0.63, 9.58, 8913
25.09, 101659.83, 0.15,-0.65, 9.60, 8918
25.09, 101659.83, 0.19,-0.61, 9.62, 8923
25.09, 101659.83, 0.15,-0.52, 9.56, 8928
25.09, 101659.83, 0.25,-0.56, 9.62, 8933
25.09, 101659.83, 0.23,-0.56, 9.64, 8938
25.09, 101659.83, 0.25,-0.65, 9.67, 8943
25.09, 101659.83, 0.21,-0.59, 9.66, 8948
25.09, 101656.70, 0.23,-0.54, 9.60, 8953
25.09, 101656.70, 0.23,-0.56, 9.64, 8958
25.09, 101656.70, 0.25,-0.50, 9.60, 8963
25.09, 101656.70, 0.31,-0.50, 9.67, 8968
25.09, 101656.70, 0.23,-0.57, 9.62, 8973
25.09, 101656.70, 0.23,-0.63, 9.71, 8978
25.09, 101656.70, 0.19,-0.61, 9.71, 8983
25.09, 101659.27, 0.21,-0.61, 9.48, 8988
25.09, 101659.27, 0.25,-0.61, 9.58, 8993
25.09, 101659.27, 0.25,-0.56, 9.62, 8998
25.09, 101659.27, 0.25,-0.56, 9.56, 9003
25.09, 101659.27, 0.21,-0.56, 9.56, 9008
